Column1;Направление / компонент;Измерение (аспект);Индикатор;Способ измерения;Категория;Подкатегория;Тип источника;Метод рассчета;Дезагрегирование данных;Доступность в Кыргызстане (Поставьте галочку, если данные доступны);Источник данных (учреждение, обладающее данными);Ответственное учреждение;Имя контактного лица;адрес эл.почты контактного лица;номер телефона контактного лица;Комментарий по расхождениям в данных / соответствию метаданным;Доступны ли данные в динамике? За какие годы?
16;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.2 Выявленное нецелевое использование публичных средств;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;Общая денежная стоимость нарушений, установленных Высшим органом финансового контроля, деленная на общую денежную стоимость проверенного государственного бюджета и умноженная на 100.;"По секторам (например: здравоохранение, инфраструктура, образование)

По административным уровням (национальный, региональный, местный)

По годам или отчетным периодам

По типам выявленных нарушений";ЛОЖЬ;;;;;;;
17;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.3 Периодичность ревизионных проверок;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Суммируйте общее количество плановых проверок (аудитов), проведенных в течение отчетного периода.
Суммируйте общее количество внеплановых (адресных) проверок, проведенных за тот же период.";"По типу аудита (плановый против внепланового)

По секторам (например: здравоохранение, образование, оборона)

По административным уровням (национальный, региональный, местный)

По ведомствам или проверяемым объектам";ЛОЖЬ;;;;;;;
18;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.4 Криминализация хищения, неправомерного присвоения или иного нецелевого использования имущества или публичных средств ;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;Бинарное значение «да/нет» в зависимости от полного соответствия определению ВООНК (Каждое Государство-участник принимает такие законодательные и иные меры, какие могут потребоваться, с тем чтобы установить в качестве уголовно наказуемых следующие деяния, когда они совершаются умышленно: хищение, неправомерное присвоение или иное нецелевое использование государственным должностным лицом в целях извлечения выгоды для себя самого или другого физического или юридического лица любого имущества, государственных или частных средств, или ценных бумаг, или любой другой ценной вещи, вверенных этому государственному должностному лицу в силу его должности).;;ЛОЖЬ;;;;;;;
19;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.5 Регулирование управления ресурсами;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Бинарное значение «да/нет» в зависимости от полного соответствия определению ВООНК (Конвенции ООН против коррупции) в отношении нормативно-правовой базы, предусматривающей четкое разделение обязанностей и полномочий государственных должностных лиц, ответственных за управление ресурсами.

Разделение обязанностей: Организационный принцип, требующий, чтобы ключевые функции (например, санкционирование, хранение, ведение учета, проверка) были закреплены за разными должностными лицами, что снижает риск злоупотребления властью и мошенничества.

Регулирование управления ресурсами: Четкие, официальные правила или законы, определяющие роли, обязанности и линии подотчетности для всех государственных должностных лиц, участвующих в управлении государственными средствами и активами.";"По административному уровню (центральный, субнациональный, местный)

По типу функций (санкционирование, хранение, ведение учета, проверка)";ЛОЖЬ;;;;;;;
20;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.6 Расследование случаев хищения, неправомерного присвоения или иного нецелевого использования;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Общее количество лиц, находящихся под следствием по факту хищения, неправомерного присвоения или иного нецелевого использования имущества, зафиксированное в данном году, деленное на общую численность населения в том же году и умноженное на 100 000.;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
21;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.7 Уголовное преследование за хищение, неправомерное присвоение или иное нецелевое использование;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Общее количество лиц, привлеченных к уголовной ответственности за хищение, неправомерное присвоение или иное нецелевое использование имущества, зафиксированное в данном году, деленное на общую численность населения в том же году и умноженное на 100 000.;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
22;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.8 Осуждение за хищение, неправомерное присвоение или иное нецелевое использование;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Общее количество лиц, осужденных за хищение, неправомерное присвоение или иное нецелевое использование имущества, зафиксированное в данном году, деленное на общую численность населения в том же году и умноженное на 100 000.;"По возрасту и полу

По регионам или административным уровням

По секторам";ЛОЖЬ;;;;;;;
23;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.9 Возвращенные активы, полученные в результате хищения, неправомерного присвоения или иного нецелевого использования;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;"Сумма денежной стоимости всех активов, возвращенных по делам о хищении, неправомерном присвоении или ином нецелевом использовании имущества, зафиксированных в течение отчетного периода, включая:

активы, конфискованные в ходе уголовного судопроизводства;

активы, изъятые в ходе гражданского судопроизводства;

активы, возвращенные в рамках взаимной правовой помощи;

активы, возмещенные в рамках соглашений о признании вины или мировых соглашений.

Активы должны оцениваться на момент их возврата и конвертироваться в доллары США по официальному обменному курсу.";"По типу активов (наличные средства, недвижимость, финансовые инструменты, предметы роскоши и т. д.)

По механизму возврата (конфискация в рамках уголовного дела, гражданско-правовая конфискация, административный арест/изъятие, взаимная правовая помощь)

По юрисдикции (возврат внутри страны или из-за рубежа)";ЛОЖЬ;;;;;;;
24;Уголовные преступления в соответствии с КПК ООН;a.2 Хищение , неправомерное присвоение или иное нецелевое использование  имущества или публичных средств ;a.2.10 Общее количество административных санкций за растрату, присвоение или нецелевое использование средств, зарегистрированных в данном году;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Суммируйте общее количество окончательных административных санкций (независимо от типа), наложенных в течение отчетного года за случаи хищения, неправомерного присвоения или иного нецелевого использования имущества.;"По возрасту и полу

По типу санкций (увольнение, понижение в должности, штраф, дисквалификация и т. д.)";ЛОЖЬ;;;;;;;
25;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.1 Открытый набор кадров;Прямая оценка;;;Ведомственные данные;"Доля сотрудников государственного сектора, назначенных на внеконкурсной основе =
(Количество сотрудников государственного сектора, назначенных без проведения открытого и конкурентного отбора за последние 12 месяцев ÷ Общее количество сотрудников государственного сектора, назначенных за последние 12 месяцев) × 100";"По возрасту и полу

По типу контракта (бессрочный, временный)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическим зонам (регионам)";ЛОЖЬ;;;;;;;
26;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.2. Использование личных связей для получения публичной должности;Косвенные оценки;Восприятие;;Опрос населения;"Процент государственных служащих, отмечающих влияние личных связей при приеме на работу =
(Количество государственных служащих, которые считают, что на процессы подбора персонала в данном году влияют личные связи ÷ Общее количество государственных служащих, опрошенных в том же году) × 100";"По возрасту и полу

По типу контракта (бессрочный, временный)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическим зонам (регионам)";ЛОЖЬ;;;;;;;
27;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.3 Набор кадров без проведения конкурентной процедуры;Косвенные оценки;Риск;ВОЗМОЖНОСТИ;Ведомственные данные;"Доля открытых конкурсов с одним кандидатом =
(Количество открытых конкурсов, на которые была подана только одна заявка в данном году ÷ Общее количество открытых конкурсов, проведенных в течение того же года) × 100";"По возрасту и полу

По типу контракта (бессрочный, временный)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическим зонам (регионам)";ЛОЖЬ;;;;;;;
28;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.4 Наличие механизма обращения с жалобой для отклоненных кандидатов ;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Бинарная оценка:

0 = Механизм подачи жалоб для отклоненных кандидатов отсутствует.

1 = Механизм подачи жалоб для отклоненных кандидатов существует и функционирует на основании четких законных полномочий; его институциональная структура обеспечивает независимость и беспристрастность; он широко известен и легко доступен для всех кандидатов; он публикует агрегированную информацию о принятых решениях и корректирующих мерах.";"По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению (местонахождению)";ЛОЖЬ;;;;;;;
29;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.5 Должности, уязвимые для коррупции;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Коэффициент оценки рисков при приеме на работу =
(Количество случаев приема на должности, уязвимые для коррупции, при которых была проведена оценка рисков в данном году ÷ Общее количество случаев приема на должности, уязвимые для коррупции, в том же году) × 1 000";"По рангу (категории) государственного служащего

По типу контракта (бессрочный, временный)

По возрасту и полу кандидата

По типу применяемой оценки рисков (проверка на добропорядочность (integrity check), проверка биографических данных (background verification), декларация о конфликте интересов, раскрытие финансовой информации, полиграф / спецпроверка)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению (местонахождению)";ЛОЖЬ;;;;;;;
30;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.6 Режим регулирования гражданской службы;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Бинарная оценка:

0 = Система государственной службы, основанная на меритократическом подборе кадров в государственном секторе, отсутствует.

1 = Система государственной службы, основанная на меритократическом подборе кадров в государственном секторе, существует и четко определена законом; она имеет всесторонние операционные руководства, а также механизмы надзора и обеспечения прозрачности.";"По ветвям власти (законодательная, исполнительная, судебная)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению / юрисдикции";ЛОЖЬ;;;;;;;
31;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.7 Прозрачность процедур набора кадров;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Ведомственные данные;"Бинарная оценка:

0 = Процедуры найма, продвижения по службе, выхода на пенсию, увольнения, а также информация о шкале заработной платы являются общедоступными.

1 = Процедуры найма, продвижения по службе, выхода на пенсию, увольнения, а также информация о шкале заработной платы не являются общедоступными.";"По ветвям власти (законодательная, исполнительная, судебная)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению / юрисдикции

По типу доступной информации (процедуры найма, продвижения по службе, выхода на пенсию, увольнения и шкала заработной платы)";ЛОЖЬ;;;;;;;
32;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.8 Нарушения процедур набора кадров;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;"Коэффициент нарушений при приеме на работу =
(Количество назначений в государственном секторе, которые были аннулированы из-за нарушений в процессе найма в данном году ÷ Общее количество назначений в государственном секторе за тот же год) × 1 000";"По ветвям власти (законодательная, исполнительная, судебная)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению / юрисдикции

По рангу (категории) государственного служащего

По типу контракта (бессрочный, временный)

По возрасту и полу кандидата

По типу нарушения (назначение на внеконкурсной основе / конфликт интересов / фальсификация документов / несанкционированный найм / политическое вмешательство)";ЛОЖЬ;;;;;;;
33;Меры по предупреждению;b.1 Открытый набор кадров на основании заслуг ;b.1.9 Число жалоб на механизмы набора кадров в предыдущие 12 месяцев;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;"Коэффициент жалоб на процесс подбора персонала =
(Количество жалоб, поступивших в апелляционные механизмы в отношении подбора персонала в данном году ÷ Общее количество завершенных процедур найма за тот же год) × 1 000";"По ветвям власти (законодательная, исполнительная, судебная)

По уровню государственного управления (национальный, субнациональный, местный)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По географическому положению / юрисдикции

По рангу (категории) государственного служащего

По типу контракта (бессрочный, временный)

По возрасту и полу заявителя (лица, подавшего жалобу)

По причине жалобы (предполагаемый фаворитизм / отсутствие прозрачности / процедурные нарушения / дискриминация / манипуляции с тестами или интервью / нарушение критериев отбора)

По результату (аннулирование найма / восстановление кандидата / дисциплинарное взыскание / только рекомендация)";ЛОЖЬ;;;;;;;
34;Меры по предупреждению;b.3 Коллизия интересов ;b.3.1 Число выявленных коллизий интересов, не заявленных публичными должностными лицами;Прямая оценка;;;Ведомственные данные;Общее количество выявленных в ходе расследований, аудитов или посредством других механизмов надзора незадекларированных конфликтов интересов в течение календарного года.;"По ветвям власти (законодательная, исполнительная, судебная)

По государственным институтам (ведомствам/организациям)

По типу конфликта (финансовый / нефинансовый)

По методу выявления (проверка деклараций, аудит, сообщение осведомителя, журналистское расследование и т. д.)

По географическим зонам (регионам)";ЛОЖЬ;;;;;;;
35;Меры по предупреждению;b.3 Коллизия интересов ;b.3.2 Наличие режима регулирования раскрытия информации об активах и коллизии интересов;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Бинарный ответ (1 = Существует, 0 = Не существует).

Для подтверждения существования системы декларирования активов и конфликта интересов должны быть соблюдены все следующие критерии:

Четкий мандат и охват. Нормативные акты определяют, какие должностные лица обязаны подавать декларации, а также какие типы активов, доходов, интересов и аффилированности подлежат отчетности.

Процедуры. Наличие стандартизированных форматов и систем для обеспечения последовательности раскрытия данных и возможности проведения периодических проверок.

Руководства. Должностным лицам предоставляются четкие инструкции и обучение в дополнение к нормативным актам, разъясняющие, что именно и каким образом должно быть задекларировано.

Верификация (Проверка). Наличие четких процедур пересмотра и верификации, включая перекрестные проверки, аудиты, случайную выборку и автоматизированное сопоставление с другими государственными реестрами.

Управление конфликтом интересов. Существуют механизмы, позволяющие декларировать различные типы конфликтов, включая реальный, потенциальный и мнимый (кажущийся) конфликт интересов.

Санкции. Очерчены полномочия по расследованию жалоб, наложению санкций и установлению четкой связи между нарушениями и мерами принуждения.

Прозрачность. Имеются четкие определения того, какие данные о соблюдении требований и правоприменении должны публиковаться и с какой периодичностью.";По ветвям власти;ЛОЖЬ;;;;;;;
36;Меры по предупреждению;b.3 Коллизия интересов ;b.3.3 Контрольный(ые) орган(ы), осуществляющий(ие) мониторинг и управление в отношении раскрытия информации о коллизии интересов;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Бинарная оценка: 1 = Контрольный орган существует и является надлежащим, 0 = Не существует.

Для определения надлежащего характера контрольного органа по мониторингу и управлению конфликтами интересов, такой орган должен соответствовать всем следующим критериям:

Руководство. Наличие как минимум одного четко назначенного ведущего органа (или сети), ответственного за управление и надзор за раскрытием информации.

Ресурсы. Подтвержденная операционная и бюджетная независимость, а также наличие адекватных ресурсов у органа или органов, на которые возложены данные задачи.

Операционализация. Наличие процедур для систематического установления стандартов, регулярного и внеочередного раскрытия информации, специализированного обучения и постоянного консультирования.

Заинтересованные стороны. Наличие сети офицеров по этике или локальных координаторов в министерствах и ведомствах для поддержки реализации мер на местах.

Верификация. Наличие механизмов проверки, пересмотра и перекрестной сверки данных в декларациях (а не просто пассивное получение документов).

Санкции. Наличие полномочий по рассмотрению жалоб, проведению расследований и наложению санкций, а также четкая связь с мерами принудительного исполнения в случае выявления нарушений.

Прозрачность. Наличие стандартов для последовательного периодического распространения данных о конфликтах интересов.";По ветвям власти;ЛОЖЬ;;;;;;;
37;Меры по предупреждению;b.3 Коллизия интересов ;b.3.4 Периоды на размышление при найме публичных должностных лиц;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Бинарная оценка: 1 = Период ожидания («cooling-off period») существует и является эффективным, 0 = Не существует.

Период ожидания (ограничения на последующее трудоустройство после увольнения с госслужбы) должен соответствовать всем следующим критериям:

Всесторонняя правовая база. Наличие четких законов или нормативных актов, устанавливающих обязательные периоды ожидания с указанием их продолжительности (от 6 месяцев до 2 лет), охвата (высшие руководящие должности и должности с высоким коррупционным риском), сферы применения (сектора и виды деятельности) и санкций.

Механизм обеспечения соблюдения. Наличие полномочного органа, обладающего достаточными ресурсами и компетенцией для мониторинга соблюдения требований, расследования потенциальных нарушений и наложения санкций.

Прозрачность. Регулярная публикация агрегированных данных о применении ограничений, принятых решениях и наложенных санкциях (с учетом соблюдения конфиденциальности) для стимулирования законопослушности и укрепления доверия общества.";"По ветвям власти

По уровню должностного лица

По продолжительности (сроку действия ограничений)";ЛОЖЬ;;;;;;;
